Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Morowali Utara,Sulawesi Tengah,20,205,146,2,1339,2018
Palu,Sulawesi Tengah,75,201,574,33,1553,2018
Kepulauan Selayar,Sulawesi Selatan,79,145,409,3,396,2018
Bulukumba,Sulawesi Selatan,90,97,316,9,470,2018
Bantaeng,Sulawesi Selatan,65,84,145,3,491,2018
Jeneponto,Sulawesi Selatan,61,145,143,8,288,2018
Takalar,Sulawesi Selatan,67,152,108,39,417,2018
Gowa,Sulawesi Selatan,80,277,143,7,505,2018
Sinjai,Sulawesi Selatan,67,103,400,26,438,2018
Maros,Sulawesi Selatan,105,144,183,15,567,2018
Pangkajene dan Kepulauan,Sulawesi Selatan,93,228,255,24,474,2018
Barru,Sulawesi Selatan,37,117,189,13,527,2018
Bone,Sulawesi Selatan,63,79,109,16,367,2018
Soppeng,Sulawesi Selatan,79,122,394,41,441,2018
Wajo,Sulawesi Selatan,93,146,569,47,605,2018
Sidenreng Rappang,Sulawesi Selatan,28,237,474,6,926,2018
Pinrang,Sulawesi Selatan,24,113,385,44,496,2018
Enrekang,Sulawesi Selatan,20,77,116,8,548,2018
Luwu,Sulawesi Selatan,70,136,76,18,842,2018
Tana Toraja,Sulawesi Selatan,3,52,56,124,1112,2018
Luwu Utara,Sulawesi Selatan,31,102,27,6,1009,2018
Luwu Timur,Sulawesi Selatan,108,174,57,21,1070,2018
Toraja Utara,Sulawesi Selatan,7,93,275,177,1014,2018
Makasar,Sulawesi Selatan,245,328,281,29,940,2018
Parepare,Sulawesi Selatan,102,226,374,26,703,2018
Palopo,Sulawesi Selatan,122,187,186,19,1072,2018
Buton,Sulawesi Tenggara,3,43,30,1,221,2018
Muna,Sulawesi Tenggara,20,37,27,0,289,2018
Konawe,Sulawesi Tenggara,55,130,99,32,656,2018
Kolaka,Sulawesi Tenggara,72,137,167,13,648,2018
Konawe Selatan,Sulawesi Tenggara,25,206,93,3,706,2018
Bombana,Sulawesi Tenggara,145,276,131,6,573,2018
Wakatobi,Sulawesi Tenggara,92,128,147,3,340,2018
Kolaka Utara,Sulawesi Tenggara,53,128,90,5,798,2018
Buton Utara,Sulawesi Tenggara,46,138,63,6,255,2018
Konawe Utara,Sulawesi Tenggara,44,326,91,,562,2018
Kolaka Timur,Sulawesi Tenggara,28,198,86,20,855,2018
Konawe Kepulauan,Sulawesi Tenggara,110,155,11,4,669,2018
Muna Barat,Sulawesi Tenggara,,3,16,3,298,2018
Buton Tengah,Sulawesi Tenggara,219,134,94,0,201,2018
Buton Selatan,Sulawesi Tenggara,11,66,45,,151,2018
Kendari,Sulawesi Tenggara,157,240,298,10,766,2018
Baubau,Sulawesi Tenggara,114,113,62,16,609,2018
Boalemo,Gorontalo,46,194,9,,2764,2018
Gorontalo,Gorontalo,13,90,8,,2617,2018
Pohuwato,Gorontalo,1,156,13,,2768,2018
Bone Bolango,Gorontalo,16,203,59,,2745,2018
Gorontalo Utara,Gorontalo,,100,,6,2476,2018
Majene,Sulawesi Barat,105,182,846,5,337,2018
Polewali Mandar,Sulawesi Barat,25,93,819,22,553,2018
Mamasa,Sulawesi Barat,5,67,68,7,531,2018
