Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Buru Selatan,Maluku,46,100,416,18,629,2019
Ambon,Maluku,57,131,801,35,867,2019
Tual,Maluku,61,91,208,3,909,2019
Halmahera Barat,Maluku Utara,53,73,780,,1049,2019
Halmahera Tengah,Maluku Utara,91,210,632,79,1372,2019
Kepulauan Sula,Maluku Utara,18,139,847,,513,2019
Halmahera Selatan,Maluku Utara,54,97,657,,1133,2019
Halmahera Utara,Maluku Utara,17,236,1121,,896,2019
Halmahera Timur,Maluku Utara,9,327,776,34,1057,2019
Pulau Morotai,Maluku Utara,23,183,1602,96,1045,2019
Pulau Taliabu,Maluku Utara,26,111,709,,772,2019
Ternate,Maluku Utara,34,74,765,0,1373,2019
Tidore Kepulauan,Maluku Utara,32,54,685,9,991,2019
Fakfak,Papua Barat,47,148,285,19,1925,2019
Kaimana,Papua Barat,85,207,206,51,1908,2019
Teluk Wondama,Papua Barat,69,218,161,1,1768,2019
Teluk Bintuni,Papua Barat,93,85,537,46,1848,2019
Manokwari,Papua Barat,51,175,434,77,1778,2019
Sorong Selatan,Papua Barat,47,95,117,2,1400,2019
Sorong,Papua Barat,29,154,415,16,2784,2019
Raja Ampat,Papua Barat,141,138,254,9,2097,2019
Tambrauw,Papua Barat,16,141,166,13,674,2019
Maybrat,Papua Barat,45,78,505,31,1603,2019
Manokwari Selatan,Papua Barat,55,160,325,253,1276,2019
Pegunungan Arfak,Papua Barat,7,208,158,0,372,2019
Merauke,Papua,30,234,319,15,1068,2019
Jayawijaya,Papua,117,,58,,4313,2019
Jayapura,Papua,57,223,977,79,1337,2019
Nabire,Papua,123,280,852,236,2227,2019
Kepulauan Yapen,Papua,36,117,440,132,991,2019
Biak Numfor,Papua,47,102,432,19,1262,2019
Paniai,Papua,,5,93,24,1853,2019
Puncak Jaya,Papua,9,3,1786,170,3254,2019
Mimika,Papua,240,345,406,61,2095,2019
Boven Digoel,Papua,62,325,940,148,1542,2019
Mappi,Papua,122,280,347,14,1129,2019
Asmat,Papua,10,38,164,11,703,2019
Yahukimo,Papua,,37,275,20,1633,2019
Pegunungan Bintang,Papua,98,120,232,44,2445,2019
Tolikara,Papua,0,56,75,10,1879,2019
Sarmi,Papua,214,127,561,15,1141,2019
Keerom,Papua,57,117,450,61,2975,2019
Waropen,Papua,133,12,778,40,1121,2019
Supiori,Papua,28,124,477,53,876,2019
Mamberamo Raya,Papua,30,,,,2176,2019
Nduga,Papua,22,27,97,9,2277,2019
Lanny Jaya,Papua,1,1159,27,14,4009,2019
Mamberamo Tengah,Papua,5,74,616,,1428,2019
Yalimo,Papua,,44,319,170,3424,2019
Puncak,Jawa Barat,,,,9,7448,2019
Dogiyai,Papua,44,6,505,9,170,2019
Intan Jaya,Papua,,,422,13,1912,2019
Deiyai,Papua,,,22,8,1992,2019
Simeulue,Aceh,11,97,2590,202,1280,2020
Aceh Singkil,Aceh,5,45,3319,289,617,2020
Aceh Selatan,Aceh,4,58,3211,88,1784,2020
Aceh Tenggara,Aceh,27,136,1909,341,1057,2020
Aceh Timur,Aceh,6,116,1869,815,812,2020
Aceh Tengah,Aceh,0,92,2656,740,1203,2020
Aceh Barat,Aceh,4,244,1958,140,1558,2020
Aceh Besar,Aceh,86,104,1755,517,687,2020
Pidie,Aceh,7,183,1730,582,635,2020
Bireuen,Aceh,2,67,1858,425,554,2020
Aceh Utara,Aceh,0,198,1777,672,836,2020
Aceh Barat Daya,Aceh,2,53,2478,93,1490,2020
Gayo Lues,Aceh,7,112,2735,164,901,2020
Aceh Tamiang,Aceh,7,112,1846,484,1237,2020
Nagan Raya,Aceh,23,150,1975,186,1855,2020
Aceh Jaya,Aceh,34,78,2164,356,1332,2020
Bener Meriah,Aceh,1,300,2578,726,1324,2020
Pidie Jaya,Aceh,11,144,2910,741,713,2020
Banda Aceh,Aceh,112,238,2024,397,712,2020
Sabang,Aceh,127,142,2617,685,1001,2020
Langsa,Aceh,54,287,2160,639,980,2020
Lhokseumawe,Aceh,72,259,2044,607,674,2020
Subulussalam,Aceh,2,77,2264,206,392,2020
Nias,Sumatera Utara,6,195,1092,111,1850,2020
Mandailing Natal,Sumatera Utara,18,94,3757,168,764,2020
Tapanuli Selatan,Sumatera Utara,1,60,3884,125,397,2020
Tapanuli Tengah,Sumatera Utara,9,58,2784,61,221,2020
Tapanuli Utara,Sumatera Utara,3,105,2309,25,569,2020
Toba Samosir,Sumatera Utara,3,81,2151,72,502,2020
Labuhan Batu,Sumatera Utara,11,128,2708,401,1127,2020
Asahan,Sumatera Utara,5,82,2600,608,967,2020
Simalungun,Sumatera Utara,21,106,2342,496,1161,2020
Dairi,Sumatera Utara,2,68,1650,81,1099,2020
Karo,Sumatera Utara,4,216,2233,251,1698,2020
Deli Serdang,Sumatera Utara,35,136,2376,391,1286,2020
Langkat,Sumatera Utara,2,51,2206,344,1046,2020
Nias Selatan,Sumatera Utara,7,191,1674,63,1030,2020
Humbang Hasundutan,Sumatera Utara,17,95,1989,31,484,2020
Pakpak Bharat,Sumatera Utara,18,17,1312,47,1022,2020
Samosir,Sumatera Utara,29,169,1817,108,768,2020
Serdang Bedagai,Sumatera Utara,24,72,2460,421,1245,2020
Batu Bara,Sumatera Utara,20,94,2691,583,931,2020
Padang Lawas Utara,Sumatera Utara,3,47,2726,52,509,2020
Padang Lawas,Sumatera Utara,3,154,2832,98,1025,2020
Labuhan Batu Selatan,Sumatera Utara,10,69,2668,356,1432,2020
Labuhan Batu Utara,Sumatera Utara,8,68,2213,362,1109,2020
Nias Utara,Sumatera Utara,2,113,1250,176,1593,2020
Nias Barat,Sumatera Utara,20,154,998,74,507,2020
Sibolga,Sumatera Utara,9,29,3280,52,121,2020
Tanjung Balai,Sumatera Utara,7,253,2666,332,318,2020
Pematang Siantar,Sumatera Utara,11,133,2571,353,505,2020
Tebing Tinggi,Sumatera Utara,84,134,2721,539,864,2020
Medan,Sumatera Utara,80,261,2568,437,698,2020
Binjai,Sumatera Utara,118,44,2530,262,905,2020
Padangsidimpuan,Sumatera Utara,4,110,3452,177,348,2020
Gunungsitoli,Sumatera Utara,10,103,1513,25,1347,2020
Kepulauan Mentawai,Sumatera Barat,11,125,3849,188,947,2020
Pesisir Selatan,Sumatera Barat,31,46,5613,362,349,2020
Solok,Sumatera Barat,15,105,5511,135,253,2020
Sijunjung,Sumatera Barat,22,97,4288,279,1261,2020
Tanah Datar,Sumatera Barat,30,75,4700,329,278,2020
Padang Pariaman,Sumatera Barat,16,64,4673,349,556,2020
Agam,Sumatera Barat,31,203,4675,244,220,2020
Lima Puluh Kota,Sumatera Barat,26,42,5084,268,529,2020
Pasaman,Sumatera Barat,9,100,3732,167,893,2020
Solok Selatan,Sumatera Barat,21,102,5015,770,303,2020
Dharmasraya,Sumatera Barat,34,168,4287,597,1013,2020
Pasaman Barat,Sumatera Barat,4,33,3364,79,1847,2020
Padang,Sumatera Barat,161,53,5559,406,206,2020
Sawah Lunto,Sumatera Barat,25,161,4653,539,441,2020
Padang Panjang,Sumatera Barat,137,137,4237,426,150,2020
Bukittinggi,Sumatera Barat,199,143,3823,374,96,2020
Payakumbuh,Sumatera Barat,132,55,4337,292,170,2020
Pariaman,Sumatera Barat,109,46,4856,221,369,2020
Kuantan Singingi,Riau,39,96,3787,300,1182,2020
Indragiri Hulu,Riau,35,127,3561,440,1135,2020
Indragiri Hilir,Riau,27,125,2595,227,1302,2020
Pelalawan,Riau,62,216,3597,634,2338,2020
Siak,Riau,41,253,3491,481,1327,2020
Kampar,Riau,74,134,3690,390,1361,2020
Rokan Hulu,Riau,36,184,3604,570,1752,2020
Bengkalis,Riau,107,239,3325,257,1056,2020
Rokan Hilir,Riau,35,220,2756,545,1801,2020
Kepulauan Meranti,Riau,28,100,2128,127,1012,2020
Pekanbaru,Riau,196,156,4019,503,576,2020
Dumai,Riau,104,165,3264,202,1097,2020
Kerinci,Jambi,5,207,5644,172,123,2020
Merangin,Jambi,7,154,3661,140,1935,2020
Sarolangun,Jambi,9,85,2949,82,1631,2020
Batang Hari,Jambi,29,227,2857,145,1450,2020
Muaro Jambi,Jambi,16,258,3353,275,1439,2020
Tanjung Jabung Timur,Jambi,16,266,2844,131,1166,2020
Tanjung Jabung Barat,Jambi,38,226,2412,227,1562,2020
Tebo,Jambi,27,81,2648,202,1460,2020
Bungo,Jambi,31,105,3894,190,1413,2020
Jambi,Jambi,212,251,3309,211,736,2020
Sungai Penuh,Jambi,65,204,5492,328,100,2020
Ogan Komering Ulu,Sumatera Selatan,17,189,1566,144,1459,2020
Ogan Komering Ilir,Sumatera Selatan,66,234,1567,326,1310,2020
Muara Enim,Sumatera Selatan,64,114,2249,222,1031,2020
Lahat,Sumatera Selatan,40,135,3041,196,896,2020
Musi Rawas,Sumatera Selatan,41,149,1641,123,1428,2020
Musi Banyuasin,Sumatera Selatan,45,259,2121,245,1134,2020
Banyu Asin,Sumatera Selatan,54,297,1979,356,1103,2020
Ogan Komering Ulu Selatan,Sumatera Selatan,17,128,1400,91,1706,2020
Ogan Komering Ulu Timur,Sumatera Selatan,16,144,963,175,1623,2020
Ogan Ilir,Sumatera Selatan,39,100,2299,222,584,2020
Empat Lawang,Sumatera Selatan,25,103,1728,59,1323,2020
Penukal Abab Lematang Ilir,Sumatera Selatan,83,146,1948,472,811,2020
Musi Rawas Utara,Sumatera Selatan,26,167,2281,122,915,2020
Palembang,Sumatera Selatan,184,371,1925,189,632,2020
Prabumulih,Sumatera Selatan,99,120,1667,125,741,2020
Pagar Alam,Sumatera Selatan,11,295,3126,295,921,2020
Lubuklinggau,Sumatera Selatan,67,204,2193,138,788,2020
Bengkulu Selatan,Bengkulu,21,182,3459,42,604,2020
Rejang Lebong,Bengkulu,6,158,3313,177,1237,2020
Bengkulu Utara,Bengkulu,10,128,3017,139,1427,2020
Kaur,Bengkulu,9,274,3313,58,973,2020
Seluma,Bengkulu,26,145,3331,47,604,2020
Mukomuko,Bengkulu,36,376,3967,205,1306,2020
Lebong,Bengkulu,13,136,4233,214,940,2020
Kepahiang,Bengkulu,4,131,2674,125,1353,2020
Bengkulu Tengah,Bengkulu,12,139,3659,65,992,2020
Bengkulu,Bengkulu,92,219,3509,126,569,2020
Lampung Barat,Lampung,8,249,760,145,1984,2020
Tanggamus,Lampung,12,108,820,54,1593,2020
Lampung Selatan,Lampung,15,314,1243,222,1405,2020
Lampung Timur,Lampung,6,101,666,174,1915,2020
Lampung Tengah,Lampung,6,218,697,161,1750,2020
Lampung Utara,Lampung,32,132,1286,123,1588,2020
Way Kanan,Lampung,3,121,1149,181,2035,2020
Tulangbawang,Lampung,21,155,1071,60,1637,2020
Pesawaran,Lampung,22,170,1193,244,1766,2020
Pringsewu,Lampung,26,68,827,147,1512,2020
Mesuji,Lampung,9,134,599,253,1864,2020
Tulang Bawang Barat,Lampung,16,164,774,152,1702,2020
Pesisir Barat,Lampung,19,354,2114,83,1564,2020
Bandar Lampung,Lampung,146,348,1799,320,1162,2020
Metro,Lampung,28,171,1449,152,1357,2020
Bangka,Kepulauan Bangka Belitung,172,162,1607,71,1411,2020
Belitung,Kepulauan Bangka Belitung,148,129,2294,101,2221,2020
Bangka Barat,Kepulauan Bangka Belitung,70,140,1766,68,1626,2020
Bangka Tengah,Kepulauan Bangka Belitung,88,164,1574,103,1930,2020
Bangka Selatan,Kepulauan Bangka Belitung,66,106,1561,82,2451,2020
Belitung Timur,Kepulauan Bangka Belitung,121,123,2786,102,3014,2020
Pangkal Pinang,Kepulauan Bangka Belitung,225,177,1792,115,1425,2020
Karimun,Kepulauan Riau,94,262,2399,344,1337,2020
Bintan,Kepulauan Riau,152,211,2043,645,1963,2020
Natuna,Kepulauan Riau,243,156,933,336,2201,2020
Lingga,Kepulauan Riau,99,272,1042,111,1548,2020
Kepulauan Anambas,Kepulauan Riau,419,326,1387,391,4207,2020
Batam,Kepulauan Riau,166,360,3430,323,1547,2020
Tanjung Pinang,Kepulauan Riau,196,286,3100,573,1432,2020
Kep. Seribu,DKI Jakarta,249,248,2700,196,2463,2020
Jakarta Selatan,D.K.I. Jakarta,311,591,3101,244,1476,2020
Jakarta Timur,D.K.I. Jakarta,223,477,2091,319,1077,2020
Jakarta Pusat,D.K.I. Jakarta,243,649,2515,237,1141,2020
Jakarta Barat,D.K.I. Jakarta,218,422,1661,250,991,2020
Jakarta Utara,D.K.I. Jakarta,205,401,1804,235,1031,2020
Bogor,Jawa Barat,62,400,1302,171,1033,2020
Sukabumi,Jawa Barat,51,329,570,86,1133,2020
Cianjur,Jawa Barat,30,212,289,81,986,2020
Bandung,Jawa Barat,88,493,304,106,796,2020
Garut,Jawa Barat,54,298,166,51,974,2020
Tasikmalaya,Jawa Barat,28,312,195,73,654,2020
Ciamis,Jawa Barat,24,347,354,156,992,2020
Kuningan,Jawa Barat,53,326,580,154,775,2020
Cirebon,Jawa Barat,53,321,713,169,687,2020
Majalengka,Jawa Barat,31,287,455,72,754,2020
Sumedang,Jawa Barat,71,360,392,65,881,2020
Indramayu,Jawa Barat,71,600,762,232,1064,2020
Subang,Jawa Barat,65,424,405,162,1143,2020
Purwakarta,Jawa Barat,102,394,738,78,957,2020
Karawang,Jawa Barat,80,381,919,137,1021,2020
Bekasi,Jawa Barat,72,402,1587,218,1090,2020
Bandung Barat,Jawa Barat,71,417,369,133,887,2020
Pangandaran,Jawa Barat,26,365,328,194,1476,2020
Depok,Jawa Barat,236,639,2288,173,1029,2020
Cimahi,Jawa Barat,150,774,966,204,1011,2020
Banjar,Jawa Barat,41,174,533,332,1782,2020
Cilacap,Jawa Tengah,7,137,488,168,1225,2020
Banyumas,Jawa Tengah,28,122,786,183,1221,2020
Purbalingga,Jawa Tengah,31,72,757,262,797,2020
Banjarnegara,Jawa Tengah,13,210,533,225,830,2020
Kebumen,Jawa Tengah,17,78,370,92,1092,2020
Purworejo,Jawa Tengah,14,87,601,47,1230,2020
Wonosobo,Jawa Tengah,13,207,458,266,947,2020
Magelang,Jawa Tengah,32,140,387,105,955,2020
Boyolali,Jawa Tengah,14,90,575,135,998,2020
Klaten,Jawa Tengah,22,125,680,107,954,2020
Sukoharjo,Jawa Tengah,73,170,710,190,806,2020
Wonogiri,Jawa Tengah,17,184,366,344,1277,2020
Karanganyar,Jawa Tengah,27,193,849,254,1307,2020
Sragen,Jawa Tengah,24,172,592,167,1102,2020
Grobogan,Jawa Tengah,18,114,736,156,1046,2020
Blora,Jawa Tengah,33,80,903,206,1077,2020
Rembang,Jawa Tengah,6,167,869,165,994,2020
Pati,Jawa Tengah,9,170,978,208,749,2020
Kudus,Jawa Tengah,12,155,765,89,469,2020
Jepara,Jawa Tengah,10,111,575,79,685,2020
Demak,Jawa Tengah,40,271,1325,164,867,2020
Semarang,Jawa Tengah,37,122,952,63,953,2020
Temanggung,Jawa Tengah,48,112,535,373,917,2020
Kendal,Jawa Tengah,24,207,731,244,1088,2020
Batang,Jawa Tengah,18,150,985,97,1118,2020
Pekalongan,Jawa Tengah,52,226,891,138,856,2020
Pemalang,Jawa Tengah,39,208,708,89,982,2020
Tegal,Jawa Tengah,30,268,1052,137,786,2020
Brebes,Jawa Tengah,53,205,665,114,859,2020
Surakarta,Jawa Tengah,103,128,668,223,810,2020
Salatiga,Jawa Tengah,67,153,627,57,725,2020
Kulon Progo,D.I. Yogyakarta,29,66,416,67,452,2020
Bantul,D.I. Yogyakarta,94,95,499,120,777,2020
Gunung Kidul,D.I. Yogyakarta,4,115,326,374,1363,2020
Sleman,D.I. Yogyakarta,78,141,741,124,884,2020
Yogyakarta,D.I. Yogyakarta,57,204,975,260,691,2020
Pacitan,Jawa Timur,16,180,124,77,1775,2020
Ponorogo,Jawa Timur,63,112,270,67,1242,2020
Trenggalek,Jawa Timur,10,104,123,136,1509,2020
Tulungagung,Jawa Timur,18,139,256,19,1490,2020
Blitar,Jawa Timur,44,83,49,15,1111,2020
Kediri,Jawa Timur,94,152,321,32,1147,2020
Malang,Jawa Timur,27,195,272,11,961,2020
Lumajang,Jawa Timur,11,100,169,12,865,2020
Jember,Jawa Timur,14,198,139,99,1039,2020
Banyuwangi,Jawa Timur,23,177,415,18,1529,2020
Bondowoso,Jawa Timur,10,177,184,116,886,2020
Situbondo,Jawa Timur,20,255,239,11,772,2020
Probolinggo,Jawa Timur,24,210,245,9,858,2020
Pasuruan,Jawa Timur,36,248,868,69,827,2020
Sidoarjo,Jawa Timur,161,411,780,58,1020,2020
Mojokerto,Jawa Timur,52,360,580,126,1219,2020
Jombang,Jawa Timur,43,203,374,90,1146,2020
Nganjuk,Jawa Timur,61,89,415,102,1510,2020
Madiun,Jawa Timur,77,167,306,139,1141,2020
Magetan,Jawa Timur,38,112,499,146,1149,2020
Ngawi,Jawa Timur,43,176,581,254,1170,2020
Bojonegoro,Jawa Timur,3,72,640,306,1363,2020
Tuban,Jawa Timur,7,189,661,139,1438,2020
Lamongan,Jawa Timur,25,92,398,58,1345,2020
Gresik,Jawa Timur,38,343,572,84,1018,2020
Bangkalan,Jawa Timur,10,141,605,23,833,2020
Sampang,Jawa Timur,14,109,284,2,875,2020
Pamekasan,Jawa Timur,27,129,344,27,740,2020
Sumenep,Jawa Timur,11,241,467,97,885,2020
Surabaya,Jawa Timur,113,518,1100,115,1432,2020
Batu,Jawa Timur,85,300,483,33,942,2020
Pandeglang,Banten,43,271,727,72,936,2020
Lebak,Banten,32,374,642,71,999,2020
Tangerang,Banten,137,410,1863,231,1526,2020
Serang,Banten,25,222,1229,239,1018,2020
Cilegon,Banten,78,372,1628,159,1147,2020
Tangerang Selatan,Banten,103,579,2179,250,1361,2020
Jembrana,Bali,19,129,650,80,1162,2020
Tabanan,Bali,30,458,340,17,1236,2020
Badung,Bali,148,844,755,100,1422,2020
Gianyar,Bali,44,318,494,34,1442,2020
Klungkung,Bali,50,77,1146,118,1433,2020
Bangli,Bali,12,84,283,55,2016,2020
Karangasem,Bali,38,77,416,29,1667,2020
Buleleng,Bali,23,41,616,27,1801,2020
Denpasar,Bali,107,730,856,91,1492,2020
Lombok Barat,Nusa Tenggara Barat,18,188,550,121,1855,2020
Lombok Tengah,Nusa Tenggara Barat,32,159,158,80,1689,2020
Lombok Timur,Nusa Tenggara Barat,30,297,483,159,1999,2020
Sumbawa,Nusa Tenggara Barat,13,219,167,29,1258,2020
Dompu,Nusa Tenggara Barat,40,143,241,24,769,2020
Bima,Nusa Tenggara Barat,22,135,121,8,622,2020
Sumbawa Barat,Nusa Tenggara Barat,100,196,642,101,1639,2020
Lombok Utara,Nusa Tenggara Barat,2,142,255,30,1984,2020
Mataram,Nusa Tenggara Barat,99,313,718,129,1118,2020
Sumba Barat,Nusa Tenggara Timur,7,34,97,44,1495,2020
Sumba Timur,Nusa Tenggara Timur,2,36,99,32,1157,2020
Kupang,Nusa Tenggara Timur,3,35,269,2,703,2020
Timor Tengah Selatan,Nusa Tenggara Timur,3,56,164,83,870,2020
Timor Tengah Utara,Nusa Tenggara Timur,12,,141,12,831,2020
Belu,Nusa Tenggara Timur,1,106,297,31,732,2020
Alor,Nusa Tenggara Timur,16,52,166,61,642,2020
Lembata,Nusa Tenggara Timur,9,40,199,29,195,2020
Flores Timur,Nusa Tenggara Timur,10,46,181,12,260,2020
Sikka,Nusa Tenggara Timur,7,46,88,,618,2020
Ende,Nusa Tenggara Timur,6,29,213,14,1389,2020
Ngada,Nusa Tenggara Timur,12,62,205,156,1473,2020
Manggarai,Nusa Tenggara Timur,3,178,168,20,597,2020
Rote Ndao,Nusa Tenggara Timur,9,72,101,11,577,2020
Manggarai Barat,Nusa Tenggara Timur,52,121,258,9,404,2020
Sumba Tengah,Nusa Tenggara Timur,,19,129,145,1246,2020
Sumba Barat Daya,Nusa Tenggara Timur,0,83,75,12,1259,2020
Nagekeo,Nusa Tenggara Timur,,4,312,12,989,2020
Manggarai Timur,Nusa Tenggara Timur,7,41,46,6,380,2020
Sabu Raijua,Nusa Tenggara Timur,21,69,307,42,1145,2020
Malaka,Nusa Tenggara Timur,2,26,271,70,381,2020
Sambas,Kalimantan Barat,30,211,743,150,651,2020
Bengkayang,Kalimantan Barat,28,303,160,96,1575,2020
Landak,Kalimantan Barat,11,172,81,40,1208,2020
Mempawah,Kalimantan Barat,30,316,319,57,894,2020
Sanggau,Kalimantan Barat,24,274,337,115,1360,2020
Ketapang,Kalimantan Barat,32,230,834,135,1662,2020
Sintang,Kalimantan Barat,10,229,291,265,1557,2020
Kapuas Hulu,Kalimantan Barat,101,440,163,115,935,2020
Sekadau,Kalimantan Barat,45,252,332,276,1041,2020
Melawi,Kalimantan Barat,20,164,210,95,2703,2020
Kayong Utara,Kalimantan Barat,55,274,471,34,2353,2020
Kubu Raya,Kalimantan Barat,60,293,422,56,1411,2020
Pontianak,Kalimantan Barat,105,545,351,92,1194,2020
Singkawang,Kalimantan Barat,154,274,367,297,1162,2020
Kotawaringin Barat,Kalimantan Tengah,29,252,468,106,2864,2020
Kotawaringin Timur,Kalimantan Tengah,51,546,305,22,1466,2020
Kapuas,Kalimantan Tengah,36,269,323,150,924,2020
Barito Selatan,Kalimantan Tengah,129,620,174,92,809,2020
Barito Utara,Kalimantan Tengah,76,409,148,48,1189,2020
Sukamara,Kalimantan Tengah,62,287,270,51,2383,2020
Lamandau,Kalimantan Tengah,52,207,370,146,2711,2020
Seruyan,Kalimantan Tengah,92,363,485,32,2115,2020
Katingan,Kalimantan Tengah,58,539,294,24,2052,2020
Pulang Pisau,Kalimantan Tengah,13,493,257,48,1232,2020
Gunung Mas,Kalimantan Tengah,34,416,102,17,1867,2020
Barito Timur,Kalimantan Tengah,85,443,119,78,970,2020
Murung Raya,Kalimantan Tengah,66,255,221,69,931,2020
Palangka Raya,Kalimantan Tengah,65,431,353,242,1466,2020
Tanah Laut,Kalimantan Selatan,28,329,247,131,1057,2020
Kotabaru,Kalimantan Selatan,85,311,274,150,1150,2020
Barito Kuala,Kalimantan Selatan,47,257,140,171,632,2020
Tapin,Kalimantan Selatan,71,331,317,177,1059,2020
Hulu Sungai Selatan,Kalimantan Selatan,40,168,311,346,710,2020
Hulu Sungai Tengah,Kalimantan Selatan,34,359,155,119,677,2020
Hulu Sungai Utara,Kalimantan Selatan,24,243,234,253,541,2020
Tabalong,Kalimantan Selatan,36,339,227,148,945,2020
Tanah Bumbu,Kalimantan Selatan,34,383,273,121,1311,2020
Balangan,Kalimantan Selatan,18,227,139,78,677,2020
Banjarmasin,Kalimantan Selatan,103,632,526,301,711,2020
Banjar Baru,Kalimantan Selatan,282,547,520,310,1070,2020
Paser,Kalimantan Timur,61,424,574,83,977,2020
Kutai Barat,Kalimantan Timur,29,641,235,35,1631,2020
Kutai Kartanegara,Kalimantan Timur,69,332,900,136,1351,2020
Kutai Timur,Kalimantan Timur,125,329,517,110,2055,2020
Berau,Kalimantan Timur,293,382,980,96,1792,2020
Penajam Paser Utara,Kalimantan Timur,78,505,514,7,1603,2020
Mahakam Ulu,Kalimantan Timur,33,452,528,30,1542,2020
Balikpapan,Kalimantan Timur,177,502,361,45,1344,2020
Samarinda,Kalimantan Timur,142,456,588,128,1442,2020
Bontang,Kalimantan Timur,179,312,510,113,1154,2020
Malinau,Kalimantan Utara,19,419,418,64,2750,2020
Bulungan,Kalimantan Utara,83,436,262,148,2565,2020
Tana Tidung,Kalimantan Utara,251,137,1023,36,1738,2020
Nunukan,Kalimantan Utara,87,413,166,29,1503,2020
Tarakan,Kalimantan Utara,86,230,378,26,1160,2020
Bolaang Mongondow,Sulawesi Utara,8,186,380,8,2191,2020
Minahasa,Sulawesi Utara,22,127,215,7,1996,2020
Kepulauan Sangihe,Sulawesi Utara,12,281,200,7,2053,2020
Kepulauan Talaud,Sulawesi Utara,6,150,59,8,1930,2020
Minahasa Selatan,Sulawesi Utara,5,112,441,17,2102,2020
Minahasa Utara,Sulawesi Utara,50,120,371,34,2911,2020
Bolaang Mongondow Utara,Sulawesi Utara,7,217,464,29,1719,2020
Siau Tagulandang Biaro,Sulawesi Utara,12,119,48,6,2562,2020
Minahasa Tenggara,Sulawesi Utara,10,101,269,29,2410,2020
Bolaang Mongondow Selatan,Sulawesi Utara,1,250,82,16,2384,2020
Bolaang Mongondow Timur,Sulawesi Utara,11,269,65,27,2788,2020
Manado,Sulawesi Utara,106,159,210,23,2362,2020
Bitung,Sulawesi Utara,80,284,184,32,2581,2020
Tomohon,Sulawesi Utara,30,71,223,13,2062,2020
Kotamobagu,Sulawesi Utara,8,130,45,4,1873,2020
Banggai Kepulauan,Sulawesi Tengah,7,194,127,14,1243,2020
Banggai,Sulawesi Tengah,24,154,485,17,1393,2020
Morowali,Sulawesi Tengah,53,356,379,19,1459,2020
Poso,Sulawesi Tengah,32,250,67,25,2333,2020
Donggala,Sulawesi Tengah,17,133,553,37,1390,2020
Toli-Toli,Sulawesi Tengah,45,207,364,12,1205,2020
Buol,Sulawesi Tengah,14,102,410,17,1318,2020
Parigi Moutong,Sulawesi Tengah,24,52,231,15,1534,2020
Tojo Una-Una,Sulawesi Tengah,31,164,96,6,1765,2020
Sigi,Sulawesi Tengah,21,154,569,78,1856,2020
Banggai Laut,Sulawesi Tengah,13,237,565,10,939,2020
Morowali Utara,Sulawesi Tengah,23,352,330,20,1443,2020
Palu,Sulawesi Tengah,88,127,595,51,1431,2020
Kepulauan Selayar,Sulawesi Selatan,114,165,479,6,493,2020
Bulukumba,Sulawesi Selatan,23,148,257,3,489,2020
Bantaeng,Sulawesi Selatan,120,150,226,1,557,2020
Jeneponto,Sulawesi Selatan,45,140,188,1,399,2020
Takalar,Sulawesi Selatan,85,150,146,1,397,2020
Gowa,Sulawesi Selatan,123,335,281,12,680,2020
Sinjai,Sulawesi Selatan,127,169,520,14,573,2020
Maros,Sulawesi Selatan,151,302,172,8,640,2020
Pangkajene dan Kepulauan,Sulawesi Selatan,137,225,210,30,434,2020
Barru,Sulawesi Selatan,26,266,227,37,663,2020
Bone,Sulawesi Selatan,81,222,195,7,490,2020
Soppeng,Sulawesi Selatan,53,111,373,34,577,2020
Wajo,Sulawesi Selatan,110,239,633,22,723,2020
Sidenreng Rappang,Sulawesi Selatan,72,197,424,12,713,2020
Pinrang,Sulawesi Selatan,60,142,372,4,497,2020
Enrekang,Sulawesi Selatan,40,130,124,38,589,2020
Luwu,Sulawesi Selatan,66,134,52,16,1090,2020
Tana Toraja,Sulawesi Selatan,9,54,126,131,1342,2020
Luwu Utara,Sulawesi Selatan,27,135,17,26,1276,2020
Luwu Timur,Sulawesi Selatan,79,173,128,17,972,2020
Toraja Utara,Sulawesi Selatan,29,62,249,280,965,2020
Makasar,Sulawesi Selatan,209,225,414,53,917,2020
Parepare,Sulawesi Selatan,143,119,423,8,924,2020
Palopo,Sulawesi Selatan,74,109,80,0,1002,2020
Buton,Sulawesi Tenggara,73,162,103,19,431,2020
Muna,Sulawesi Tenggara,19,65,46,4,397,2020
Konawe,Sulawesi Tenggara,40,123,99,16,721,2020
Kolaka,Sulawesi Tenggara,106,224,408,19,921,2020
Konawe Selatan,Sulawesi Tenggara,33,286,83,17,926,2020
Bombana,Sulawesi Tenggara,96,237,135,14,671,2020
Wakatobi,Sulawesi Tenggara,171,121,150,2,381,2020
Kolaka Utara,Sulawesi Tenggara,57,131,106,20,773,2020
Buton Utara,Sulawesi Tenggara,63,159,127,2,326,2020
Konawe Utara,Sulawesi Tenggara,80,285,188,5,716,2020
Kolaka Timur,Sulawesi Tenggara,63,188,104,29,780,2020
Konawe Kepulauan,Sulawesi Tenggara,33,110,50,3,574,2020
Muna Barat,Sulawesi Tenggara,23,69,95,7,303,2020
Buton Tengah,Sulawesi Tenggara,7,70,151,2,167,2020
