Kabupaten/Kota,Sambal jadi,Tahun,Provinsi
Klungkung,76,2018,Bali
Bangli,14,2018,Bali
Karangasem,17,2018,Bali
Buleleng,5,2018,Bali
Denpasar,120,2018,Bali
Lombok Barat,16,2018,Nusa Tenggara Barat
Lombok Tengah,24,2018,Nusa Tenggara Barat
Lombok Timur,36,2018,Nusa Tenggara Barat
Sumbawa,31,2018,Nusa Tenggara Barat
Dompu,38,2018,Nusa Tenggara Barat
Bima,28,2018,Nusa Tenggara Barat
Sumbawa Barat,20,2018,Nusa Tenggara Barat
Lombok Utara,9,2018,Nusa Tenggara Barat
Mataram,67,2018,Nusa Tenggara Barat
Sumba Barat,4,2018,Nusa Tenggara Timur
Sumba Timur,2,2018,Nusa Tenggara Timur
Kupang,12,2018,Nusa Tenggara Timur
Timor Tengah Selatan,1,2018,Nusa Tenggara Timur
Timor Tengah Utara,14,2018,Nusa Tenggara Timur
Belu,1,2018,Nusa Tenggara Timur
Alor,40,2018,Nusa Tenggara Timur
Lembata,15,2018,Nusa Tenggara Timur
Flores Timur,13,2018,Nusa Tenggara Timur
Sikka,31,2018,Nusa Tenggara Timur
Ende,17,2018,Nusa Tenggara Timur
Ngada,22,2018,Nusa Tenggara Timur
Manggarai,9,2018,Nusa Tenggara Timur
Rote Ndao,15,2018,Nusa Tenggara Timur
Manggarai Barat,40,2018,Nusa Tenggara Timur
Sumba Tengah,26,2018,Nusa Tenggara Timur
Sumba Barat Daya,5,2018,Nusa Tenggara Timur
Nagekeo,22,2018,Nusa Tenggara Timur
Manggarai Timur,2,2018,Nusa Tenggara Timur
Sabu Raijua,12,2018,Nusa Tenggara Timur
Malaka,,2018,Nusa Tenggara Timur
Sambas,41,2018,Kalimantan Barat
Bengkayang,44,2018,Kalimantan Barat
Landak,23,2018,Kalimantan Barat
Mempawah,33,2018,Kalimantan Barat
Sanggau,67,2018,Kalimantan Barat
Ketapang,20,2018,Kalimantan Barat
Sintang,25,2018,Kalimantan Barat
Kapuas Hulu,54,2018,Kalimantan Barat
Sekadau,64,2018,Kalimantan Barat
Melawi,14,2018,Kalimantan Barat
Kayong Utara,59,2018,Kalimantan Barat
Kubu Raya,28,2018,Kalimantan Barat
Pontianak,118,2018,Kalimantan Barat
Singkawang,96,2018,Kalimantan Barat
Kotawaringin Barat,35,2018,Kalimantan Tengah
Kotawaringin Timur,79,2018,Kalimantan Tengah
Kapuas,45,2018,Kalimantan Tengah
Barito Selatan,91,2018,Kalimantan Tengah
Barito Utara,84,2018,Kalimantan Tengah
Sukamara,70,2018,Kalimantan Tengah
Lamandau,35,2018,Kalimantan Tengah
Seruyan,71,2018,Kalimantan Tengah
Katingan,105,2018,Kalimantan Tengah
Pulang Pisau,13,2018,Kalimantan Tengah
Gunung Mas,39,2018,Kalimantan Tengah
Barito Timur,56,2018,Kalimantan Tengah
Murung Raya,141,2018,Kalimantan Tengah
Palangka Raya,136,2018,Kalimantan Tengah
Tanah Laut,30,2018,Kalimantan Selatan
Kotabaru,220,2018,Kalimantan Selatan
Barito Kuala,29,2018,Kalimantan Selatan
Tapin,63,2018,Kalimantan Selatan
Hulu Sungai Selatan,29,2018,Kalimantan Selatan
Hulu Sungai Tengah,21,2018,Kalimantan Selatan
Hulu Sungai Utara,43,2018,Kalimantan Selatan
Tabalong,35,2018,Kalimantan Selatan
Tanah Bumbu,22,2018,Kalimantan Selatan
Balangan,17,2018,Kalimantan Selatan
Banjarmasin,209,2018,Kalimantan Selatan
Banjar Baru,117,2018,Kalimantan Selatan
Paser,31,2018,Kalimantan Timur
Kutai Barat,67,2018,Kalimantan Timur
Kutai Kartanegara,57,2018,Kalimantan Timur
Kutai Timur,236,2018,Kalimantan Timur
Berau,168,2018,Kalimantan Timur
Penajam Paser Utara,51,2018,Kalimantan Timur
Mahakam Ulu,31,2018,Kalimantan Timur
Balikpapan,184,2018,Kalimantan Timur
Samarinda,152,2018,Kalimantan Timur
Bontang,222,2018,Kalimantan Timur
Malinau,61,2018,Kalimantan Utara
Bulungan,54,2018,Kalimantan Utara
Tana Tidung,135,2018,Kalimantan Utara
Nunukan,63,2018,Kalimantan Utara
Tarakan,144,2018,Kalimantan Utara
Bolaang Mongondow,2,2018,Sulawesi Utara
Minahasa,12,2018,Sulawesi Utara
Kepulauan Sangihe,29,2018,Sulawesi Utara
Kepulauan Talaud,8,2018,Sulawesi Utara
Minahasa Selatan,2,2018,Sulawesi Utara
